Latitude,J,F,M,A,M,J,J,A,S,O,N,D
-58,5,4,2,1,0,0,0,1,2,3,5,5
-42,7,7,5,3,1,1,1,2,4,6,7,8
-37,8,8,6,4,2,2,2,3,5,6,8,9
-35,9,9,7,4,3,2,2,4,5,7,9,10
-34,9,9,7,5,3,2,3,4,6,7,9,10
-26,11,11,9,7,5,4,4,6,8,10,11,11
-23,12,11,9,7,5,5,5,7,9,10,12,12
-19,12,12,11,9,7,6,6,8,11,11,12,12
-13,12,13,12,10,8,8,8,10,11,13,12,12
-1,12,13,13,12,11,10,11,11,12,12,12,11
1,11,12,13,13,11,11,11,11,12,12,11,10
9,9,11,12,12,11,11,12,12,12,11,9,9
13,8,10,12,12,11,11,12,12,12,10,8,8
14,8,10,12,12,11,12,12,12,11,10,8,8
21,6,8,10,11,11,11,12,12,10,8,6,6
23,6,8,9,10,10,11,12,11,10,8,6,5
34,3,4,6,8,9,10,10,9,7,5,3,2
35,3,4,5,8,9,9,10,9,7,4,3,2
36,2,4,5,8,9,9,10,9,7,4,2,2
39,2,3,4,6,8,9,9,8,6,4,2,1
41,2,3,4,6,7,8,9,8,6,3,2,1
48,1,2,3,5,6,7,8,6,4,2,1,1
49,1,1,3,4,6,7,7,6,4,2,1,1
52,1,1,2,4,5,7,7,5,3,1,1,0
60,0,0,1,3,4,5,5,4,2,1,0,0
